Index;Flipped
681;N
489;N
104;N
454;N
235;Y
751;N
519;N
305;N
542;N
210;Y
43;N
40;N
99;N
2;N
127;N
213;N
649;N
251;N
645;N
730;N
167;N
456;N
726;N
731;N
240;N
758;N
664;N
637;Y
565;N
495;N
660;N
507;N
729;N
91;N
733;N
7;N
132;Y
188;N
479;N
116;N
554;N
498;N
77;N
699;N
760;N
239;N
706;Y
567;N
17;N
458;N
297;N
70;Y
631;N
483;N
555;N
557;N
506;N
372;N
580;N
266;N
346;N
412;N
673;N
278;N
275;N
136;Y
160;N
627;N
138;N
566;Y
696;N
618;Y
108;N
634;Y
505;Y
406;N
254;N
281;N
226;Y
174;N
293;N
184;Y
128;N
725;N
459;N
691;N
6;N
64;Y
53;N
510;N
690;N
757;N
294;N
573;N
568;N
169;N
628;N
380;N
255;N
405;Y
65;N
301;N
753;N
162;N
503;N
270;N
311;Y
543;N
763;N
472;N
418;N
486;Y
642;N
117;N
397;N
236;N
401;N
67;N
548;N
79;Y
657;N
620;Y
23;N
89;N
180;Y
636;N
327;N
307;N
396;N
34;Y
661;N
354;N
494;Y
530;Y
719;Y
395;N
32;N
759;N
326;Y
755;N
552;N
192;N
63;Y
558;N
335;Y
442;N
338;N
424;Y
679;N
263;N
515;Y
521;N
202;Y
331;N
56;Y
35;Y
304;N
163;Y
125;N
694;Y
129;N
356;N
282;N
487;Y
8;N
214;N
310;Y
676;Y
432;N
148;Y
612;N
245;N
124;N
478;Y
74;N
105;Y
5;N
78;Y
320;N
150;N
516;Y
724;N
9;N
308;N
593;Y
746;N
598;N
582;N
641;N
381;N
394;N
708;N
378;N
259;N
574;N
496;Y
767;N
656;N
613;N
586;N
230;N
360;N
309;N
492;N
428;Y
57;N
469;N
237;Y
337;N
115;N
385;N
362;N
745;Y
14;N
450;N
18;Y
413;N
491;N
465;N
217;Y
45;N
407;N
470;Y
738;N
170;N
398;Y
3;N
366;N
433;N
84;Y
585;N
24;Y
616;N
688;N
629;N
20;N
16;N
85;N
611;Y
369;N
389;N
522;N
659;N
602;Y
709;N
197;N
244;Y
131;N
752;N
647;N
152;N
425;N
279;Y
716;N
463;N
464;N
37;N
260;N
300;N
196;N
723;N
216;N
392;N
194;N
227;N
103;N
33;N
375;N
141;N
735;Y
154;N
609;N
284;N
273;N
390;N
379;N
264;Y
587;N
95;N
423;Y
484;N
697;N
712;N
536;N
702;N
121;N
51;N
669;N
436;N
41;N
4;N
199;Y
625;N
75;N
619;N
695;N
431;N
575;Y
535;N
671;N
72;N
172;Y
10;N
371;N
704;N
720;N
741;N
123;N
336;Y
189;N
90;N
599;Y
655;N
100;N
482;N
315;N
122;N
349;N
223;N
665;Y
166;N
526;N
168;N
768;N
592;N
361;Y
62;Y
435;N
222;N
674;Y
46;N
153;N
377;N
408;N
106;N
422;N
419;N
416;Y
175;N
321;N
164;N
393;N
249;N
333;N
19;N
69;Y
471;N
447;Y
501;N
316;N
596;N
564;N
112;N
248;N
388;N
283;N
256;Y
54;N
142;N
411;N
571;Y
268;N
135;N
630;N
448;Y
186;N
410;Y
211;N
151;N
644;Y
109;N
96;N
332;Y
126;N
171;N
595;Y
513;N
120;N
299;Y
626;Y
161;N
144;N
373;N
420;N
466;Y
27;N
502;N
692;Y
207;Y
545;N
633;N
687;N
563;Y
185;Y
569;N
22;N
449;N
550;Y
317;N
572;N
700;N
146;N
728;N
68;N
528;N
658;N
173;N
743;N
707;N
61;N
39;Y
635;N
440;N
517;Y
737;N
638;N
493;N
250;N
42;N
258;N
653;N
351;N
744;N
475;N
272;N
529;N
241;N
157;N
191;Y
374;N
355;N
102;Y
36;N
651;N
404;N
600;N
92;N
303;N
446;Y
532;N
680;N
133;N
140;Y
44;N
98;N
427;N
534;N
247;Y
328;N
670;N
594;N
177;N
291;N
476;N
60;N
438;N
353;Y
26;N
201;N
319;Y
683;N
761;N
269;N
717;N
111;N
531;N
187;N
539;Y
155;N
414;N
511;N
289;N
443;N
232;N
71;N
219;N
601;Y
540;N
81;N
583;N
668;Y
203;N
457;Y
1;N
82;N
48;Y
703;N
749;Y
722;N
11;N
452;Y
156;N
766;N
462;N
306;N
218;N
576;N
666;N
624;Y
285;N
714;N
508;Y
165;N
437;N
603;Y
556;N
654;N
547;Y
461;N
559;Y
107;N
49;N
13;N
750;N
365;N
341;N
460;N
12;N
386;N
149;N
468;N
421;N
280;N
118;N
533;N
318;N
544;N
330;N
38;N
274;N
409;Y
402;N
221;N
747;N
640;N
736;N
334;N
748;N
110;Y
348;Y
765;N
685;Y
561;N
234;N
667;N
474;N
261;N
549;N
481;N
204;N
119;N
195;N
621;N
363;N
182;N
553;N
376;N
233;Y
286;N
295;N
623;N
710;N
113;Y
271;Y
329;N
73;N
229;Y
718;N
358;Y
524;N
370;N
342;N
323;N
643;N
698;Y
756;Y
