Index;Flipped
669;N
144;N
81;Y
501;N
21;N
768;N
491;N
69;Y
618;N
34;Y
158;N
341;N
281;N
298;N
224;N
261;Y
735;Y
408;Y
178;N
640;Y
425;Y
740;N
23;Y
751;N
142;N
97;Y
286;N
33;N
242;Y
190;Y
482;Y
43;Y
442;Y
580;Y
451;N
738;N
416;N
474;N
652;N
104;N
150;N
609;N
47;N
386;N
147;N
680;N
692;N
328;Y
399;N
149;N
495;N
519;N
170;N
372;N
285;N
244;N
364;N
753;N
354;N
621;N
479;Y
688;N
83;N
331;N
571;N
526;N
348;N
507;Y
574;Y
173;N
309;N
392;N
535;N
325;N
610;N
447;N
490;N
502;Y
469;N
206;Y
540;Y
361;Y
13;N
17;N
487;N
246;N
515;N
63;N
303;N
687;N
289;N
732;N
379;N
41;N
324;N
464;N
543;N
587;N
513;N
128;N
130;N
77;N
723;N
401;N
744;Y
538;N
100;N
696;Y
704;Y
82;N
124;N
591;N
349;N
645;N
280;N
620;N
333;N
689;N
572;N
19;N
525;N
539;N
411;N
673;N
263;N
717;Y
527;N
195;N
409;N
50;Y
634;N
131;N
62;N
53;N
616;N
213;N
307;N
369;N
393;N
44;N
556;N
200;Y
446;N
654;N
395;N
725;N
590;N
267;N
481;N
648;N
197;N
279;N
232;N
459;N
746;Y
756;N
27;N
169;N
553;N
595;N
499;N
475;N
460;N
95;N
72;N
400;N
432;Y
332;N
657;N
340;N
734;N
629;N
4;N
420;N
382;Y
672;N
607;N
9;Y
264;N
68;N
380;N
129;N
630;Y
32;N
225;N
3;N
310;N
91;N
132;N
302;Y
49;N
14;N
214;N
265;Y
37;Y
102;N
185;N
428;N
570;N
412;Y
583;N
635;N
315;N
243;Y
510;N
430;Y
10;N
60;N
559;N
483;N
143;N
40;N
152;N
274;N
254;N
468;N
250;N
662;N
365;Y
273;N
710;N
729;N
51;N
270;Y
304;N
536;N
148;N
623;N
562;N
318;N
757;N
564;N
461;Y
357;Y
676;N
55;N
126;N
248;Y
271;Y
653;N
39;N
71;N
754;N
375;Y
1;Y
314;N
697;N
52;N
29;N
326;N
107;N
764;N
584;N
154;N
445;N
16;N
291;Y
733;N
638;N
418;N
137;Y
121;N
576;N
179;N
453;N
308;Y
493;N
551;Y
2;N
300;N
417;N
643;N
42;N
641;N
752;N
606;N
299;N
439;N
191;N
171;N
182;N
444;N
743;N
11;N
713;N
698;Y
222;Y
319;N
736;N
457;Y
5;N
649;N
741;N
558;Y
249;N
25;N
455;Y
89;Y
120;Y
605;Y
92;Y
449;N
311;N
398;N
260;N
647;N
381;N
322;Y
512;N
347;N
614;Y
397;Y
505;N
509;Y
419;N
360;N
436;N
355;N
433;N
579;Y
317;N
73;N
277;N
566;N
230;N
140;N
205;Y
38;N
506;Y
511;N
339;N
632;N
15;N
471;N
427;Y
730;N
85;N
677;N
695;N
294;N
58;Y
22;N
549;N
54;Y
588;N
35;N
534;N
108;N
155;N
366;Y
292;N
404;N
334;N
390;N
133;N
636;N
320;Y
480;N
141;N
305;N
517;N
631;N
403;N
234;N
415;Y
601;N
728;Y
435;N
157;Y
350;N
718;N
338;N
448;N
462;N
218;Y
136;N
61;N
666;N
296;N
94;N
508;N
441;Y
275;Y
440;N
208;N
761;N
6;Y
529;N
75;N
316;N
414;Y
256;N
252;Y
362;N
682;N
203;N
297;N
48;N
66;Y
737;N
423;N
221;Y
530;N
323;N
561;Y
712;Y
290;Y
668;N
99;N
589;N
541;N
209;N
65;Y
215;N
533;N
701;Y
111;Y
373;N
731;N
622;N
452;N
396;Y
12;N
473;N
759;N
186;N
56;N
708;Y
255;N
691;N
721;N
679;N
183;N
187;N
156;N
276;Y
438;Y
176;N
219;N
497;N
537;Y
612;N
59;N
492;N
106;N
494;N
727;N
93;N
765;N
424;N
431;N
625;Y
36;N
79;N
301;N
151;Y
683;N
327;Y
650;N
603;Y
87;Y
175;Y
101;N
86;N
763;Y
604;N
342;N
202;Y
750;N
192;N
24;N
694;Y
165;Y
210;N
194;N
138;N
134;N
520;N
139;Y
700;Y
714;N
703;N
272;Y
321;Y
450;Y
223;N
177;N
465;Y
114;N
352;N
237;Y
123;N
389;N
665;N
172;N
611;N
266;N
201;N
378;Y
690;N
344;N
235;N
488;N
90;Y
125;N
581;Y
716;N
472;N
463;N
336;N
521;N
383;N
644;Y
524;N
454;N
642;Y
153;N
413;N
422;N
251;Y
557;N
550;N
661;N
241;N
709;N
160;N
522;N
745;N
351;Y
681;N
343;N
678;N
368;N
555;N
164;N
109;Y
702;N
544;N
377;Y
98;N
145;N
426;N
287;Y
262;N
726;N
582;N
568;Y
724;Y
660;Y
295;N
659;N
421;N
719;N
593;N
166;Y
476;Y
514;N
456;N
758;N
288;N
548;Y
70;N
498;N
596;N
388;Y
105;N
163;Y
504;N
269;N
96;Y
127;Y
207;N
467;Y
477;N
766;N
518;N
