Index;Flipped
212;N
704;N
595;N
674;N
101;N
87;N
587;N
698;Y
711;N
219;Y
113;N
752;N
449;N
418;N
571;N
10;N
603;N
128;N
507;N
549;Y
323;N
614;N
343;N
251;N
738;N
103;Y
637;N
193;N
204;N
590;N
586;N
731;N
137;N
550;N
327;N
50;N
230;N
553;N
585;N
643;N
290;Y
257;N
158;N
621;N
44;N
445;N
86;N
478;N
521;Y
594;N
481;N
484;N
195;N
729;N
266;N
31;N
176;N
276;N
616;N
708;N
61;N
25;Y
767;N
420;N
15;N
185;N
26;N
157;N
718;N
42;N
447;Y
111;N
446;N
629;N
417;N
749;N
375;N
433;N
681;N
350;N
211;N
69;N
49;N
611;N
639;N
518;N
544;N
452;N
311;N
380;N
622;N
504;Y
190;N
724;N
163;N
241;Y
258;N
143;N
332;N
347;N
175;N
77;N
246;N
564;N
239;N
535;N
743;N
135;Y
318;N
448;N
200;N
562;Y
428;N
636;N
694;N
576;N
385;N
430;N
98;N
272;N
119;N
451;N
631;N
577;N
568;Y
189;N
713;N
55;N
53;N
78;N
408;N
657;N
560;N
381;N
191;N
454;N
710;N
389;N
205;N
410;Y
539;N
152;Y
728;N
184;N
74;N
671;N
294;N
66;N
691;N
425;N
267;N
467;Y
705;N
419;N
358;N
352;Y
234;N
346;N
633;N
434;Y
73;N
706;N
16;Y
220;N
1;N
735;N
557;Y
650;N
766;N
120;N
41;Y
566;N
196;N
685;N
524;N
626;N
496;N
97;Y
630;N
252;N
250;Y
13;N
459;N
238;N
514;N
335;N
580;Y
126;N
400;N
5;Y
162;Y
490;N
730;N
237;N
540;N
166;N
655;N
228;N
288;N
304;N
225;N
401;N
105;Y
167;N
209;N
579;Y
742;Y
399;N
753;N
443;N
64;N
618;N
170;N
37;Y
90;N
673;N
39;N
435;N
317;N
689;N
699;Y
35;N
520;N
493;N
307;N
361;Y
436;N
161;N
765;N
299;N
263;N
406;N
106;Y
610;N
429;N
296;N
319;Y
36;N
402;N
29;N
692;N
403;N
369;N
221;N
572;N
548;N
281;Y
725;N
362;N
359;N
11;N
213;N
502;Y
243;N
734;N
17;N
72;N
336;Y
635;Y
65;N
516;N
47;N
333;N
253;N
259;N
652;N
88;N
678;Y
414;N
589;N
118;N
271;N
517;N
693;N
763;Y
588;Y
668;N
377;Y
180;N
374;N
286;N
351;N
732;N
584;Y
231;N
320;N
648;N
159;N
227;N
165;N
641;N
462;N
726;N
613;N
473;N
109;N
664;Y
302;N
750;N
342;N
606;N
58;Y
670;N
70;Y
383;Y
292;N
215;N
305;N
506;N
768;N
370;Y
536;N
21;N
505;Y
194;N
376;N
338;N
409;N
295;N
366;N
284;Y
608;N
466;N
488;N
522;N
525;N
34;N
759;N
303;N
624;N
609;N
388;N
746;N
653;N
91;N
201;N
274;Y
501;N
245;Y
171;N
498;N
360;N
107;N
395;N
591;N
391;N
733;N
210;N
371;N
453;Y
751;N
499;N
222;N
676;N
150;Y
528;N
559;Y
475;N
392;N
313;N
482;N
331;N
398;N
123;N
364;N
625;N
607;N
405;N
530;N
260;N
344;N
151;Y
404;N
94;Y
337;N
80;N
455;N
116;Y
552;N
291;Y
538;N
457;N
277;N
494;N
264;N
224;N
325;N
644;Y
596;N
529;N
156;N
442;N
444;N
365;N
373;Y
14;Y
497;N
269;Y
153;Y
575;Y
289;N
378;N
620;N
174;Y
619;Y
450;Y
226;N
278;Y
672;N
270;N
722;N
511;Y
173;N
757;Y
700;Y
19;N
315;N
22;N
354;N
509;N
242;N
92;N
345;N
330;N
612;Y
660;N
394;N
605;N
736;Y
216;N
489;N
503;N
127;N
279;N
555;N
754;N
634;N
386;N
661;N
63;N
110;Y
280;Y
254;N
569;Y
431;N
348;N
114;N
739;N
7;N
172;N
144;N
46;N
426;N
321;Y
33;Y
293;Y
12;Y
712;N
723;N
300;Y
115;N
745;N
719;N
81;N
598;N
104;Y
89;N
179;N
411;Y
309;N
177;Y
214;N
495;Y
721;Y
32;Y
68;N
640;N
727;N
248;N
460;N
329;N
341;N
199;N
20;N
3;N
363;N
709;N
531;N
186;N
513;N
188;N
547;N
515;N
146;N
18;N
646;N
748;Y
349;N
236;Y
2;N
696;N
421;N
155;N
695;N
52;N
456;N
483;N
627;N
145;N
208;N
684;N
471;Y
141;N
38;Y
298;N
458;N
198;N
762;N
57;N
702;Y
100;N
84;N
136;N
649;N
255;N
424;N
30;N
75;N
604;N
423;N
142;Y
707;N
533;N
326;N
479;Y
79;N
592;N
8;Y
464;Y
412;N
422;N
139;N
247;N
669;N
470;N
500;Y
393;N
656;N
339;N
62;N
438;N
9;N
40;N
233;N
312;N
697;N
602;N
543;N
23;Y
140;N
716;N
600;Y
578;N
551;N
427;N
439;N
469;N
282;N
124;N
461;N
510;N
93;N
121;N
379;N
554;N
387;Y
