Index;Flipped
178;Y
51;Y
168;N
41;N
46;N
61;N
66;N
229;N
222;N
43;N
81;Y
151;N
176;N
20;N
193;N
147;N
216;N
249;N
9;N
11;N
129;N
89;Y
134;N
84;N
263;N
112;N
264;N
73;N
163;N
119;Y
270;N
248;N
171;N
36;N
29;N
79;N
85;N
210;N
118;N
160;N
267;N
257;N
266;N
86;N
215;Y
111;N
59;N
75;Y
7;N
122;N
108;N
252;N
256;Y
121;N
259;N
117;Y
142;N
114;N
64;N
5;N
143;Y
77;Y
174;N
269;N
1;Y
191;N
60;N
37;N
44;N
159;N
91;Y
250;N
253;N
25;Y
82;N
56;N
258;N
172;N
28;Y
107;N
69;N
254;N
101;N
194;N
95;N
12;N
80;Y
135;N
128;N
251;N
141;N
177;N
97;N
27;Y
131;N
205;N
162;N
207;Y
164;N
144;N
235;N
31;N
17;Y
169;N
152;Y
104;N
238;N
74;N
208;N
140;N
241;Y
126;Y
15;N
67;N
184;N
123;N
120;Y
190;N
227;Y
221;N
13;N
228;N
19;N
214;Y
35;N
195;N
201;N
202;Y
154;N
145;N
48;N
125;Y
40;N
45;N
230;N
246;Y
70;N
183;N
99;N
55;N
240;N
260;N
22;Y
88;N
197;N
133;N
237;N
63;N
102;Y
21;Y
234;Y
220;N
139;N
138;N
231;Y
106;Y
100;N
175;N
236;N
34;N
179;N
76;N
4;Y
198;N
105;N
109;N
158;N
204;N
32;Y
209;N
130;N
110;Y
93;Y
53;N
26;N
189;Y
50;N
161;N
38;N
65;N
211;N
49;N
242;N
8;N
218;Y
16;Y
213;N
156;N
33;Y
155;Y
6;N
90;N
181;Y
223;N
244;N
148;Y
180;N
3;N
217;N
83;Y
57;N
72;N
2;N
