Index;Flipped
41;N
3;N
82;Y
174;N
98;N
229;N
60;N
249;N
257;N
186;N
241;N
267;Y
226;N
66;N
50;N
88;N
73;N
240;N
65;Y
255;N
209;N
84;N
20;Y
205;N
97;N
171;N
264;N
99;Y
243;N
56;N
26;Y
62;N
181;N
127;N
119;N
70;N
6;N
253;N
51;N
47;N
180;N
219;N
76;Y
46;Y
211;N
217;Y
40;N
168;Y
77;N
94;N
154;Y
105;N
213;N
145;N
167;N
12;N
164;N
136;N
143;Y
210;Y
57;Y
91;Y
107;N
268;N
24;N
63;N
232;N
146;N
75;N
117;Y
216;N
101;Y
106;N
53;Y
173;N
163;Y
7;N
32;Y
67;Y
134;N
234;Y
116;Y
190;N
245;N
129;N
121;N
192;N
114;N
144;N
83;N
258;Y
131;N
155;N
122;N
175;N
135;Y
269;N
38;N
39;N
140;N
44;Y
61;N
170;N
71;Y
161;N
11;N
28;N
29;N
74;N
110;N
206;N
59;Y
79;N
266;Y
9;N
222;N
207;N
202;N
81;Y
150;N
236;N
246;N
15;N
185;N
132;N
152;Y
227;N
251;N
237;N
43;N
17;Y
256;N
128;N
242;N
194;N
5;N
141;N
133;Y
198;N
10;N
138;N
126;Y
108;N
120;N
191;N
64;N
86;N
4;N
169;N
233;Y
166;N
221;Y
124;Y
238;N
1;N
104;N
261;N
72;Y
137;N
16;N
96;N
35;Y
195;N
31;N
196;N
109;N
130;N
13;N
42;N
78;N
18;N
52;Y
263;N
203;N
188;Y
92;N
215;N
68;N
115;N
187;Y
160;N
157;N
25;N
197;N
178;Y
148;Y
220;N
225;N
19;Y
8;Y
235;N
21;N
54;N
37;N
260;N
125;N
183;Y
111;N
204;N
228;N
85;N
89;Y
162;N
